"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"263","CE-S-020","St-Hubert - Châteauguay","290 boul. D'Anjou, Châteauguay, QC, J6K 1C6","Level2",45.35860825,-73.71720886,"290 boul. D'Anjou","Châteauguay","QC","J6K 1C6"
"264","CEC-00059","BRCC - MRC Charlevoix - Baie St-Paul","2 Chemin de l'Équerre, Baie St-Paul, QC, G3Z 2Y5","FastDC",47.449028,-70.52147,"2 Chemin de l'Équerre","Baie St-Paul","QC","G3Z 2Y5"
"265","CE-M-016","METRO - Laurier","2450 boul. Laurier, Québec, QC, G1V 2L1","Level2",46.77533547,-71.27739108,"2450 boul. Laurier","Québec","QC","G1V 2L1"
"266","CEA-10102","St-Hubert - Valleyfield","1370 boul. Mgr. Langlois, Salaberry-de-Valleyfield, QC, J6S 1E3","Level2",45.2707372,-74.13148879,"1370 boul. Mgr. Langlois","Salaberry-de-Valleyfield","QC","J6S 1E3"
"267","CEA-087","First Capital - Faubourg des Prairies","12421 Boulevard Rodolphe, Montréal, QC, H1E 4T4","Level2",45.649299,-73.57813,"12421 Boulevard Rodolphe","Montréal","QC","H1E 4T4"
"268","CEA-412","Shawinigan - Bibliothèque de St-Gérard-des-Laurent","1375 chemin Principal, St-Gérard-des-Laurentides, QC, G9R 1E5","Level2",46.60242,-72.81368,"1375 chemin Principal","St-Gérard-des-Laurentides","QC","G9R 1E5"
"269","CE-A-025","AMT - Stationnement La Prairie","avenue du Golf, La Prairie, QC, J5R 0G9","Level2",45.426124,-73.47998,"avenue du Golf","La Prairie","QC","J5R 0G9"
"270","CEA-159","Stade de Soccer de Montréal","9235 Avenue Papineau, Montréal, QC, H2M 2G5","Level2",45.562243,-73.63818,"9235 Avenue Papineau","Montréal","QC","H2M 2G5"
"271","CEA-192","Boisbriand - Hôtel de Ville","940 boul. de la Grande-Allée, Boisbriand, QC, J7G 2J7","Level2",45.61287097,-73.83849548,"940 boul. de la Grande-Allée","Boisbriand","QC","J7G 2J7"
"272","CEC-00022","BRCC - Ville de Granby","111 rue Denison E, Granby, QC, J2G 4C4","FastDC",45.395589,-72.712862,"111 rue Denison E","Granby","QC","J2G 4C4"
"273","CEA-185","Terrebonne - Édifice Claude Desjardins","513 Montée Masson, Terrebonne, QC, J6W 2Z2","Level2",45.696333,-73.634571,"513 Montée Masson","Terrebonne","QC","J6W 2Z2"
"274","CEA-395","St-Alexandre - Pavillon des Loisirs","440 rue Bernard, St-Alexandre, QC, J0J 1S0","Level2",45.240022,-73.12131,"440 rue Bernard","St-Alexandre","QC","J0J 1S0"
"275","CEA-201","Québec - Bureau d'arrondissement 3","1130 route de l'Église, Québec, QC, G1V 4X6","Level2",46.769405,-71.29352,"1130 route de l'Église","Québec","QC","G1V 4X6"
"276","CEC-00002","Centre de services communautaires du Monastère","4451 rue Berri, Montréal, QC, H2J 2W9","FastDC",45.524942,-73.580838,"4451 rue Berri","Montréal","QC","H2J 2W9"
"277","CE-US-001","Université de Sherbrooke","45 boul. de l'Aéroport, Bromont, QC, J2L 1S8","Level2",45.297966,-72.72625732,"45 boul. de l'Aéroport","Bromont","QC","J2L 1S8"
"278","CEA-241","CSRS - École St-Antoine","16 Rue Church, Sherbrooke, QC, J1M 1S9","Level2",45.367676,-71.85889,"16 Rue Church","Sherbrooke","QC","J1M 1S9"
"279","CEA-013","Ville de Rivière-du-Loup - Hôtel de Ville","65 rue de l'Hôtel-de-Ville, Rivière-du-Loup, QC, G5R 3Y7","Level2",47.83609159,-69.53649108,"65 rue de l'Hôtel-de-Ville","Rivière-du-Loup","QC","G5R 3Y7"
"280","CEA-10054","MTQ - Aire de service de Melbourne","1035 Route 243, Melbourne, QC, J0B 2B0","Level2",45.63602,-72.144073,"1035 Route 243","Melbourne","QC","J0B 2B0"
"281","CEA-258","Palais des Congrès de Montréal","159 St-Antoine O, Montréal, QC, H2Z 1H2","Level2",45.505426,-73.561206,"159 St-Antoine O","Montréal","QC","H2Z 1H2"
"282","CEA-251","Relais des Navigateurs (Esso)","1070 route Marie-Victorin, Deschaillons-sur-Saint-Laurent, QC, G0S 1G0","Level2",46.55576633,-72.11747864,"1070 route Marie-Victorin","Deschaillons-sur-Saint-Laurent","QC","G0S 1G0"
"283","CEA-085","Ville de Blainville - Hôtel de Ville","1009 rue de la Mairie, Blainville, QC, J7C 3C7","Level2",45.679232,-73.874683,"1009 rue de la Mairie","Blainville","QC","J7C 3C7"
"284","CEC-00042","BRCC - La Belle Québécoise - Daveluyville","1100 rue Principale, Daveluyville, QC, G0Z 1C0","FastDC",46.171793,-72.137503,"1100 rue Principale","Daveluyville","QC","G0Z 1C0"
"285","CE-A-039","AMT - Terminus Radisson","7250 rue Sherbrooke Est, Montréal, QC, H1N 1E7","Level2",45.58995026,-73.53677562,"7250 rue Sherbrooke Est","Montréal","QC","H1N 1E7"
"286","CEA-243","Bentall Kennedy - Tour KPMG","600 Boulevard de Maisonneuve Ouest, Montréal, QC, H3A 0A3","Level2",45.504524,-73.5705,"600 Boulevard de Maisonneuve Ouest","Montréal","QC","H3A 0A3"
"287","CEA-10032","St-Hubert - Boisbriand","2262 boul. du Faubourg, Boisbriand, QC, J7H 1S3","Level2",45.623506,-73.84773,"2262 boul. du Faubourg","Boisbriand","QC","J7H 1S3"
"288","CEA-076","Lachine - École de Voile","3045 boul. St-Joseph, Lachine, QC, H8S 4B7","Level2",45.4333445,-73.69102537,"3045 boul. St-Joseph","Lachine","QC","H8S 4B7"
"289","CEA-300","St-Hubert - Bromont","8 boulevard de Bromont suite 100, Bromont, QC, J2L 2K1","Level2",45.333962,-72.647894,"8 boulevard de Bromont suite 100","Bromont","QC","J2L 2K1"
"290","CEA-10081","Lévis - Complexe Pôle-Sud","1195 rue de la Concorde, Lévis, QC, G6W 5M6","Level2",46.731446,-71.26335,"1195 rue de la Concorde","Lévis","QC","G6W 5M6"
"291","CEA-320","DeSerres - Québec","1505 Boul. Lebourgneuf, Québec, QC, G2K 2G3","Level2",46.833596,-71.300901,"1505 Boul. Lebourgneuf","Québec","QC","G2K 2G3"
"292","CEA-10046","St-Hubert - Jonquière","3657 boul. Harvey, Jonquiere, QC, G7X 3A9","Level2",48.411383,-71.23709,"3657 boul. Harvey","Jonquiere","QC","G7X 3A9"
"293","CEA-10116","Contrecoeur - Hôtel de Ville","5000 rue Marie-Victorin, Contrecoeur, QC, J0L 1C0","Level2",45.857484,-73.239587,"5000 rue Marie-Victorin","Contrecoeur","QC","J0L 1C0"
